Plataforma,Protocolo,Categoria do protocolo,N de auditores,Descrição,Link,Class,Rev
Sherlock,Perennial V2,Derivatives,4,Oracle request timestamp and pending position timestamp mismatch can make most position updates invalid,[[https://github.com/sherlock-audit/2023-07-perennial-judging/issues/42][Github]],C3-2,
Sherlock,Perennial V2,Derivatives,1,Invalid oracle versions can cause desync of global and local positions making protocol lose funds and being unable to pay back all users,[[https://github.com/sherlock-audit/2023-07-perennial-judging/issues/49][Github]],C3-2,
Sherlock,Perennial V2,Derivatives,4,Protocol fee from Market.sol is locked,[[https://github.com/sherlock-audit/2023-07-perennial-judging/issues/52][Github]],C5-4,
Sherlock,Perennial V2,Derivatives,3,"PythOracle:if price.expo is less than 0, wrong prices will be recorded",[[https://github.com/sherlock-audit/2023-07-perennial-judging/issues/56][Github]],C6-4,
Sherlock,Perennial V2,Derivatives,4,Vault.sol: settleing the 0 address will disrupt accounting,[[https://github.com/sherlock-audit/2023-07-perennial-judging/issues/62][Github]],C3-2,
Sherlock,Perennial V2,Derivatives,1,Keepers will suffer significant losses due to miss compensation for L1 rollup fees,[[https://github.com/sherlock-audit/2023-07-perennial-judging/issues/91][Github]],C7-2,
Sherlock,Blueberry,Yield Agreggator,1,Stable BPT valuation is incorrect and can be exploited to cause protocol insolvency,[[https://github.com/sherlock-audit/2023-07-blueberry-judging/issues/97][Github]],C6-2,1
Sherlock,Blueberry,Yield Agreggator,2,CurveTricryptoOracle incorrectly assumes that WETH is always the last token in the pool which leads to bad LP pricing,[[https://github.com/sherlock-audit/2023-07-blueberry-judging/issues/98][Github]],C8,
Sherlock,Blueberry,Yield Agreggator,2,CurveTricryptoOracle#getPrice contains math error that causes LP to be priced completely wrong,[[https://github.com/sherlock-audit/2023-07-blueberry-judging/issues/100][Github]],C6-3,1
Sherlock,Blueberry,Yield Agreggator,1,CVX/AURA distribution calculation is incorrect and will lead to loss of rewards at the end of each cliff,[[https://github.com/sherlock-audit/2023-07-blueberry-judging/issues/240][Github]],C6-2,1
Sherlock,Blueberry,Yield Agreggator,1,wrong bToken's exchangeRateStored used for calculate ColleteralValue,[[https://github.com/sherlock-audit/2023-07-blueberry-judging/issues/117][Github]],C6-3,1
